11/07 a 12/07,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,o4-mini,,,o4-mini,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
9,E,0.41,Médio,0.24,Médio,E,X,E,X,X,E,E,E,E,E,7,0,,10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B
10,B,0.40,Difícil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B,10,1,,11,D,0.64,Fácil,0.47,Muito bom,D,D,D,D,D,D,D,D,D,D
11,D,0.64,Fácil,0.47,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,12,B,0.14,Muito difícil,0.04,Fraco,B,B,B,B,B,B,B,B,B,B
12,B,0.14,Muito difícil,0.04,Fraco,B,B,B,B,B,B,B,B,B,B,10,1,,14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C
13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D,0,1,,15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,C,C
14,C,0.25,Difícil,0.26,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,16,B,0.63,Fácil,0.37,Bom,B,B,B,B,B,B,B,B,B,B
15,C,0.51,Médio,0.29,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C
16,B,0.63,Fácil,0.37,Bom,B,B,B,B,B,B,B,B,B,B,10,1,,18,E,0.42,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E
17,C,0.12,Muito difícil,-0.01,Fraco,C,C,C,C,C,C,C,C,C,C,10,1,,19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D
18,E,0.42,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A
19,D,0.38,Difícil,0.26,Médio,D,D,D,D,D,D,D,D,D,D,10,1,,22,A,0.53,Médio,0.38,Bom,A,A,A,A,A,A,A,A,A,A
20,A,0.35,Difícil,0.53,Muito bom,A,A,A,A,A,A,A,A,A,A,10,1,,23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C
21,E,0.10,Muito difícil,-0.08,Fraco,E,D,D,D,E,D,D,D,E,X,3,0,,26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A
22,A,0.53,Médio,0.38,Bom,A,A,A,A,A,A,A,A,A,A,10,1,,27,D,0.51,Médio,0.45,Muito bom,D,D,D,D,D,D,D,D,D,D
23,C,0.45,Médio,0.28,Médio,C,C,C,C,C,C,C,C,C,C,10,1,,28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B
24,E,0.28,Difícil,0.33,Bom,E,E,E,C,D,C,A,C,C,E,4,0,,30,E,0.45,Médio,0.37,Bom,E,E,E,E,E,E,E,E,E,E
25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D,0,1,,35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D
26,A,0.15,Muito difícil,0.23,Médio,A,A,A,A,A,A,A,A,A,A,10,1,,,,,,,,,,,,,,,,,
27,D,0.51,Médio,0.45,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,Errou tudo,,,,,,,,,,,,,,,
28,B,0.34,Difícil,0.34,Bom,B,B,B,B,B,B,B,B,B,B,10,1,,13,E,0.20,Difícil,-0.04,Fraco,D,D,D,D,D,D,D,D,D,D
30,E,0.45,Médio,0.37,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,25,B,0.19,Difícil,-0.05,Fraco,D,D,D,D,D,D,D,D,D,D
31,E,0.23,Difícil,0.37,Bom,E,C,X,E,C,B,X,C,X,E,3,0,,,,,,,,,,,,,,,,,
32,A,0.17,Difícil,0.02,Fraco,A,A,A,A,A,A,X,A,A,A,9,0,,Variou +2 opções,,,,,,,,,,,,,,,
34,C,0.23,Difícil,0.20,Médio,C,C,C,C,C,X,C,C,C,C,9,0,,21,E,0.10,Muito difícil,-0.08,Fraco,E,D,D,D,E,D,D,D,E,X
35,D,0.51,Médio,0.48,Muito bom,D,D,D,D,D,D,D,D,D,D,10,1,,24,E,0.28,Difícil,0.33,Bom,E,E,E,C,D,C,A,C,C,E
Acertos,,,,,,23,20,21,20,20,19,19,20,21,22,"20,5","76,00%",,31,E,0.23,Difícil,0.37,Bom,E,C,X,E,C,B,X,C,X,E
Percentual de Acerto,,,,,,"92,0%","80,0%","84,0%","80,0%","80,0%","76,0%","76,0%","80,0%","84,0%","88,0%","82,0%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,o3,,,,,,,,,,,,,,,
