,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,14/07/2025,15/07/25,,,,,,,,,,,,Deepseek V3 R1,,,,,,,,,,,,,,,
,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,Deepseek - V3 R1,,,,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
9,C,0.14,Muito difícil,0.03,Fraco,C,C,C,C,C,C,C,C,C,C,10,1,,9,C,0.14,Muito difícil,0.03,Fraco,C,C,C,C,C,C,C,C,C,C
10,E,0.43,Médio,0.31,Bom,E,E,E,E,E,D,E,E,E,D,8,0,,12,B,0.26,Difícil,0.21,Médio,B,B,B,B,B,B,B,B,B,B
11,C,0.52,Médio,0.24,Médio,C,C,C,C,D,C,C,D,C,C,8,0,,14,C,0.59,Médio,0.38,Bom,C,C,C,C,C,C,C,C,C,C
12,B,0.26,Difícil,0.21,Médio,B,B,B,B,B,B,B,B,B,B,10,1,,15,D,0.62,Fácil,0.37,Bom,D,D,D,D,D,D,D,D,D,D
13,D,0.44,Médio,0.28,Médio,E,D,E,D,D,E,X,D,E,X,4,0,,16,A,0.20,Difícil,0.22,Médio,A,A,A,A,A,A,A,A,A,A
14,C,0.59,Médio,0.38,Bom,C,C,C,C,C,C,C,C,C,C,10,1,,23,B,0.83,Fácil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B
15,D,0.62,Fácil,0.37,Bom,D,D,D,D,D,D,D,D,D,D,10,1,,26,E,0.56,Médio,0.42,Muito bom,E,E,E,E,E,E,E,E,E,E
16,A,0.20,Difícil,0.22,Médio,A,A,A,A,A,A,A,A,A,A,10,1,,30,E,0.16,Difícil,0.23,Médio,E,E,E,E,E,E,E,E,E,E
17,C,0.27,Difícil,0.04,Fraco,C,B,D,C,C,B,C,C,C,D,6,0,,31,A,0.28,Difícil,0.20,Médio,A,A,A,A,A,A,A,A,A,A
18,B,0.29,Difícil,0.02,Fraco,B,B,B,B,B,B,B,B,C,B,9,0,,34,D,0.36,Difícil,0.35,Bom,D,D,D,D,D,D,D,D,D,D
19,A,0.58,Médio,0.32,Bom,B,B,B,B,B,B,B,B,B,D,0,0,,,,,,,,,,,,,,,,,
20,B,0.37,Difícil,0.36,Bom,A,A,X,B,B,B,X,B,X,X,4,0,,Errou tudo,,,,,,,,,,,,,,,
21,C,0.18,Difícil,0.01,Fraco,D,D,X,D,D,X,X,D,X,D,0,0,,19,A,0.58,Médio,0.32,Bom,B,B,B,B,B,B,B,B,B,D
22,E,0.39,Difícil,0.31,Bom,D,E,X,D,X,E,X,E,X,X,3,0,,21,C,0.18,Difícil,0.01,Fraco,D,D,X,D,D,X,X,D,X,D
23,B,0.83,Fácil,0.40,Muito bom,B,B,B,B,B,B,B,B,B,B,10,1,,24,B,0.27,Difícil,0.27,Médio,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE
24,B,0.27,Difícil,0.27,Médio,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,0,1,,25,E,0.58,Médio,0.40,Muito bom,C,C,C,C,C,C,C,C,C,C
25,E,0.58,Médio,0.40,Muito bom,C,C,C,C,C,C,C,C,C,C,0,1,,27,D,0.28,Difícil,0.03,Fraco,B,B,B,B,B,B,B,B,B,B
26,E,0.56,Médio,0.42,Muito bom,E,E,E,E,E,E,E,E,E,E,10,1,,28,A,0.57,Médio,0.33,Bom,X,E,X,E,X,E,X,E,X,E
27,D,0.28,Difícil,0.03,Fraco,B,B,B,B,B,B,B,B,B,B,0,1,,29,D,0.44,Médio,0.35,Bom,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE
28,A,0.57,Médio,0.33,Bom,X,E,X,E,X,E,X,E,X,E,0,0,,,,,,,,,,,,,,,,,
29,D,0.44,Médio,0.35,Bom,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,NTE,0,1,,Variou +2 opções,,,,,,,,,,,,,,,
30,E,0.16,Difícil,0.23,Médio,E,E,E,E,E,E,E,E,E,E,10,1,,13,D,0.44,Médio,0.28,Médio,E,D,E,D,D,E,X,D,E,X
31,A,0.28,Difícil,0.20,Médio,A,A,A,A,A,A,A,A,A,A,10,1,,17,C,0.27,Difícil,0.04,Fraco,C,B,D,C,C,B,C,C,C,D
32,C,0.36,Difícil,0.30,Bom,E,C,C,C,D,E,B,E,B,B,3,0,,20,B,0.37,Difícil,0.36,Bom,A,A,X,B,B,B,X,B,X,X
34,D,0.36,Difícil,0.35,Bom,D,D,D,D,D,D,D,D,D,D,10,1,,22,E,0.39,Difícil,0.31,Bom,D,E,X,D,X,E,X,E,X,X
35,D,0.36,Difícil,0.30,Bom,D,D,D,D,X,D,D,D,D,D,9,0,,32,C,0.36,Difícil,0.30,Bom,E,C,C,C,D,E,B,E,B,B
Acertos,26,,,,,15,17,15,18,15,15,15,17,14,13,"15,4","53,85%",,,,,,,,,,,,,,,,,
Percentual de Acerto,,,,,,"57,7%","65,4%","57,7%","69,2%","57,7%","57,7%","57,7%","65,4%","53,8%","50,0%","59,2%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21/07/2025,25/07/25,,,,,,,,,,,,Gemini 2.5 Pro,,,,,,,,,,,,,,,
,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,,,,Acertou tudo,Gabarito,Índice de Facilidade (Valor),Índice de Facilidade (Classificação),Índice de Discriminação (Ponto-Bisserial) (Valor),Índice de Discriminação (Ponto-Bisserial) (Classificação),,,,,,,,,,
9,C,0.14,Muito difícil,0.03,Fraco,C,C,C,C,C,C,C,C,C,C,10,1,,9,C,0.14,Muito difícil,0.03,Fraco,C,C,C,C,C,C,C,C,C,C
10,E,0.43,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E,10,1,,10,E,0.43,Médio,0.31,Bom,E,E,E,E,E,E,E,E,E,E
11,C,0.52,Médio,0.24,Médio,C,C,D,C,C,C,D,C,C,C,8,0,,15,D,0.62,Fácil,0.37,Bom,D,D,D,D,D,D,D,D,D,D
12,B,0.26,Difícil,0.21,Médio,C,C,C,C,C,C,C,C,C,C,0,1,,16,A,0.20,Difícil,0.22,Médio,A,A,A,A,A,A,A,A,A,A
13,D,0.44,Médio,0.28,Médio,E,E,E,E,E,E,E,E,E,E,0,1,,17,C,0.27,Difícil,0.04,Fraco,C,C,C,C,C,C,C,C,C,C
