model,question,answer,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10
o4_mini,9,C,C,C,C,C,C,C,C,C,C,C
o4_mini,10,D,D,D,A,D,D,D,D,A,D,D
o4_mini,11,E,E,E,E,E,E,E,E,E,E,E
o4_mini,12,C,C,C,C,C,C,C,C,C,C,C
o4_mini,13,C,C,C,C,C,C,C,C,C,C,C
o4_mini,14,E,E,E,E,C,E,E,E,E,E,E
o4_mini,15,B,B,E,A,A,B,A,X,A,B,A
o4_mini,16,E,X,D,X,X,E,X,X,X,X,E
o4_mini,17,C,C,C,C,C,C,C,C,C,C,C
o4_mini,18,A,A,A,A,A,A,A,A,A,A,A
o4_mini,19,A,X,X,A,X,A,A,A,A,X,A
o4_mini,20,E,E,E,E,E,D,D,X,E,E,X
o4_mini,21,B,B,B,B,B,B,B,B,B,B,B
o4_mini,22,A,A,A,A,X,A,A,A,A,A,A
o4_mini,23,B,B,B,B,B,B,B,B,B,B,B
o4_mini,24,D,D,D,D,D,D,D,D,D,D,D
o4_mini,25,E,E,E,E,E,E,E,E,E,E,E
o4_mini,26,E,E,E,E,X,E,E,E,E,E,E
o4_mini,27,C,C,C,C,C,C,C,C,C,C,C
o4_mini,28,B,B,B,B,B,B,B,B,B,B,B
o4_mini,29,D,D,D,D,D,D,D,D,D,D,D
o4_mini,30,C,C,C,C,C,C,C,C,C,C,C
o4_mini,31,D,D,D,D,D,D,D,D,D,C,X
o4_mini,32,B,X,X,X,B,B,X,X,X,X,X
o4_mini,33,D,D,D,D,D,D,D,D,D,D,D
o4_mini,34,A,A,A,X,X,A,A,X,A,A,X
o4_mini,35,A,A,A,A,A,A,A,X,A,A,A
o3,9,C,C,C,C,C,C,C,C,C,C,C
o3,10,D,D,X,D,D,A,A,D,D,D,X
o3,11,E,E,E,E,E,E,E,E,E,E,E
o3,12,C,C,C,C,C,C,C,C,C,C,C
o3,13,C,C,C,C,C,C,C,C,C,C,C
o3,14,E,E,E,E,E,E,E,E,E,E,E
o3,15,B,A,D,B,B,A,A,C,D,B,D
o3,16,E,E,E,E,E,E,E,E,E,E,E
o3,17,C,C,C,C,C,C,E,C,C,C,C
o3,18,A,A,A,A,A,A,A,A,A,A,A
o3,19,A,A,A,A,A,A,A,A,A,X,A
o3,20,E,E,E,E,E,E,E,E,E,D,E
o3,21,B,B,B,B,B,B,B,B,B,B,B
o3,22,A,A,A,A,A,A,A,A,A,A,A
o3,23,B,B,B,B,B,B,B,B,B,B,B
o3,24,D,D,D,D,D,D,D,D,D,D,D
o3,25,E,E,E,E,E,E,E,E,E,E,E
o3,26,E,E,E,E,E,E,E,E,E,E,E
o3,27,C,C,C,C,C,C,C,C,C,C,C
o3,28,B,B,B,B,B,B,B,B,B,B,B
o3,29,D,D,D,D,D,D,D,D,D,D,D
o3,30,C,C,C,C,C,C,C,C,C,C,C
o3,31,D,C,D,C,D,D,D,C,D,D,D
o3,32,B,B,B,B,B,B,B,B,B,B,B
o3,33,D,D,E,D,D,D,D,E,D,E,E
o3,34,A,A,A,A,A,A,A,A,A,A,X
o3,35,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,9,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,10,D,B,D,D,C,C,E,B,E,D,D
gemini_25_pro,11,E,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,12,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,13,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,14,E,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,15,B,D,B,C,A,B,C,C,C,D,C
gemini_25_pro,16,E,X,E,C,E,E,E,B,E,B,B
gemini_25_pro,17,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,18,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,19,A,X,A,A,A,A,X,A,A,A,X
gemini_25_pro,20,E,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,21,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,22,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,23,B,B,B,B,B,B,B,B,B,B,B
