model,question,answer,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10
o4_mini,9,E,E,X,E,X,X,E,E,E,E,E
o4_mini,10,B,B,B,B,B,B,B,B,B,B,B
o4_mini,11,D,D,D,D,D,D,D,D,D,D,D
o4_mini,12,B,B,B,B,B,B,B,B,B,B,B
o4_mini,13,E,D,D,D,D,D,D,D,D,D,D
o4_mini,14,C,C,C,C,C,C,C,C,C,C,C
o4_mini,15,C,C,C,C,C,C,C,C,C,C,C
o4_mini,16,B,B,B,B,B,B,B,B,B,B,B
o4_mini,17,C,C,C,C,C,C,C,C,C,C,C
o4_mini,18,E,E,E,E,E,E,E,E,E,E,E
o4_mini,19,D,D,D,D,D,D,D,D,D,D,D
o4_mini,20,A,A,A,A,A,A,A,A,A,A,A
o4_mini,21,E,E,D,D,D,E,D,D,D,E,X
o4_mini,22,A,A,A,A,A,A,A,A,A,A,A
o4_mini,23,C,C,C,C,C,C,C,C,C,C,C
o4_mini,24,E,E,E,E,C,D,C,A,C,C,E
o4_mini,25,B,D,D,D,D,D,D,D,D,D,D
o4_mini,26,A,A,A,A,A,A,A,A,A,A,A
o4_mini,27,D,D,D,D,D,D,D,D,D,D,D
o4_mini,28,B,B,B,B,B,B,B,B,B,B,B
o4_mini,30,E,E,E,E,E,E,E,E,E,E,E
o4_mini,31,E,E,C,X,E,C,B,X,C,X,E
o4_mini,32,A,A,A,A,A,A,A,X,A,A,A
o4_mini,34,C,C,C,C,C,C,X,C,C,C,C
o4_mini,35,D,D,D,D,D,D,D,D,D,D,D
o3,9,E,E,E,E,E,E,E,E,E,E,E
o3,10,B,B,B,B,B,B,B,B,B,B,B
o3,11,D,D,D,D,D,D,D,D,D,D,D
o3,12,B,B,B,B,B,B,B,B,B,B,B
o3,13,E,D,D,D,D,D,D,D,D,D,D
o3,14,C,C,C,C,C,C,C,C,C,C,C
o3,15,C,C,C,C,C,C,C,C,C,C,C
o3,16,B,B,C,B,C,C,B,B,B,B,B
o3,17,C,C,C,C,C,C,C,C,C,C,C
o3,18,E,E,E,E,E,E,E,E,E,E,E
o3,19,D,D,D,D,D,D,D,D,D,D,D
o3,20,A,A,A,A,A,A,A,A,A,A,A
o3,21,E,D,E,D,D,D,D,D,D,D,E
o3,22,A,A,A,C,A,A,A,C,A,A,A
o3,23,C,C,C,C,C,C,C,C,C,C,C
o3,24,E,E,A,A,A,A,A,A,A,A,A
o3,25,B,D,D,D,D,D,D,D,D,D,D
o3,26,A,A,A,A,A,A,A,A,A,A,A
o3,27,D,D,D,D,D,D,D,D,D,D,D
o3,28,B,B,B,B,B,B,B,B,B,B,B
o3,30,E,E,E,E,E,E,E,E,E,E,E
o3,31,E,E,E,E,E,E,E,E,E,E,E
o3,32,A,A,A,A,A,A,A,A,A,A,A
o3,34,C,C,C,C,C,C,C,C,C,C,C
o3,35,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,9,E,E,E,B,E,E,E,E,E,E,E
gemini_25_pro,10,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,11,D,D,D,D,D,D,D,D,D,D,C
gemini_25_pro,12,B,B,B,B,B,B,B,B,B,D,B
gemini_25_pro,13,E,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,14,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,15,C,C,C,C,C,C,C,C,C,A,C
gemini_25_pro,16,B,A,C,C,C,C,C,C,C,X,A
gemini_25_pro,17,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,18,E,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,19,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,20,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,21,E,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,22,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,23,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,24,E,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,25,B,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,26,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,27,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,28,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,30,E,A,A,D,E,E,E,E,E,A,E
gemini_25_pro,31,E,E,E,C,E,E,E,E,E,E,E
gemini_25_pro,32,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,34,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,35,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,9,E,D,D,C,D,D,E,C,E,C,D
deepseek_r1,10,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,11,D,E,X,X,X,X,X,A,X,E,X
deepseek_r1,12,B,B,B,D,B,B,B,D,B,D,B
deepseek_r1,13,E,D,D,D,D,D,D,D,D,D,D
deepseek_r1,14,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,15,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,16,B,E,C,A,A,C,B,E,B,A,X
deepseek_r1,17,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,18,E,E,E,E,E,X,E,E,E,E,E
deepseek_r1,19,D,D,D,D,D,D,D,D,D,D,D
deepseek_r1,20,A,A,A,A,A,A,A,A,A,A,A
deepseek_r1,21,E,E,E,E,E,X,E,E,D,D,E
deepseek_r1,22,A,A,A,A,X,A,A,A,A,A,X
deepseek_r1,23,C,C,C,C,C,C,C,C,C,C,C
deepseek_r1,24,E,X,E,E,E,X,E,E,E,E,E
deepseek_r1,25,B,D,D,D,D,D,D,D,D,D,D
deepseek_r1,26,A,A,A,A,A,A,A,A,A,A,A
deepseek_r1,27,D,D,X,D,D,X,D,D,X,X,D
deepseek_r1,28,B,B,B,B,B,B,B,B,B,B,B
deepseek_r1,30,E,E,E,E,E,E,E,E,E,E,E
deepseek_r1,31,E,X,E,D,B,C,E,E,B,C,X
deepseek_r1,32,A,A,A,A,A,A,A,A,A,A,A
deepseek_r1,34,C,C,X,C,X,A,C,C,X,X,C
deepseek_r1,35,D,D,D,D,D,D,D,D,D,D,D
