model,question,answer,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10
o4_mini,9,C,C,C,C,C,C,C,C,C,C,C
o4_mini,10,E,E,X,E,E,A,E,A,A,E,E
o4_mini,11,C,D,D,D,D,D,D,D,D,D,D
o4_mini,12,B,C,E,C,C,E,C,C,C,C,E
o4_mini,13,D,X,D,X,X,D,X,X,X,X,X
o4_mini,14,C,C,C,C,C,C,C,C,C,C,C
o4_mini,15,D,D,D,D,D,D,D,D,D,D,D
o4_mini,16,A,A,A,A,A,A,A,A,A,A,A
o4_mini,17,C,C,C,C,C,C,C,C,C,C,C
o4_mini,18,B,B,B,B,B,B,B,B,B,B,B
o4_mini,19,A,A,B,B,B,B,B,B,B,B,B
o4_mini,20,B,X,X,X,X,X,X,X,X,X,A
o4_mini,21,C,D,D,D,C,D,C,X,X,C,D
o4_mini,22,E,E,E,E,E,E,X,E,C,E,E
o4_mini,23,B,B,B,B,B,B,B,B,B,B,B
o4_mini,24,B,B,B,B,B,B,B,B,B,B,B
o4_mini,25,E,C,E,C,C,C,C,C,C,C,E
o4_mini,26,E,E,E,E,E,E,E,E,E,E,E
o4_mini,27,D,B,B,B,B,B,B,B,B,B,B
o4_mini,28,A,X,X,X,X,E,X,X,X,X,X
o4_mini,29,D,B,B,B,C,X,D,X,X,X,X
o4_mini,30,E,E,E,E,E,E,E,E,E,E,E
o4_mini,31,A,A,A,A,A,A,A,A,A,A,A
o4_mini,32,C,C,C,E,C,E,E,C,E,E,E
o4_mini,34,D,D,D,D,X,D,X,D,D,D,D
o4_mini,35,D,C,X,X,D,X,D,X,X,X,D
o3,9,C,C,C,C,C,C,C,C,C,C,C
o3,10,E,E,E,E,E,E,E,E,E,E,E
o3,11,C,C,C,C,C,C,C,C,C,D,C
o3,12,B,B,D,B,B,C,B,B,B,B,D
o3,13,D,D,D,D,D,D,D,D,D,X,D
o3,14,C,C,C,C,C,C,C,C,C,C,C
o3,15,D,D,D,D,D,D,D,D,D,D,D
o3,16,A,A,A,A,A,A,A,A,A,A,A
o3,17,C,C,C,C,C,C,C,C,C,C,C
o3,18,B,B,B,B,B,B,B,B,B,B,B
o3,19,A,B,A,B,B,B,A,B,B,A,B
o3,20,B,X,A,A,E,A,X,A,A,X,A
o3,21,C,D,D,D,D,D,D,D,D,D,E
o3,22,E,E,E,E,D,E,E,E,E,E,E
o3,23,B,B,B,B,B,B,B,B,B,B,B
o3,24,B,B,B,X,B,B,B,B,B,B,B
o3,25,E,E,E,E,E,E,E,C,E,C,E
o3,26,E,E,E,E,E,E,E,E,E,E,E
o3,27,D,B,B,B,B,B,B,B,B,B,B
o3,28,A,C,E,C,A,C,C,C,C,E,E
o3,29,D,D,D,D,D,D,D,D,D,X,D
o3,30,E,E,E,E,E,E,E,E,E,E,E
o3,31,A,A,A,A,A,A,A,A,A,A,A
o3,32,C,C,E,C,E,E,C,E,E,E,C
o3,34,D,D,D,D,D,D,D,D,D,D,D
o3,35,D,D,D,D,D,D,D,C,D,X,D
gemini_25_pro,9,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,10,E,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,11,C,C,C,D,C,C,C,D,C,C,C
gemini_25_pro,12,B,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,13,D,E,E,E,E,E,E,E,E,E,E
gemini_25_pro,14,C,C,C,C,C,C,C,C,C,D,C
gemini_25_pro,15,D,D,D,D,D,D,D,D,D,D,D
gemini_25_pro,16,A,A,A,A,A,A,A,A,A,A,A
gemini_25_pro,17,C,C,C,C,C,C,C,C,C,C,C
gemini_25_pro,18,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,19,A,B,B,A,B,B,A,B,B,B,B
gemini_25_pro,20,B,B,A,B,E,B,B,A,B,B,A
gemini_25_pro,21,C,E,C,C,C,C,E,C,C,C,C
gemini_25_pro,22,E,D,D,A,D,D,D,D,A,D,D
gemini_25_pro,23,B,B,E,B,B,B,B,B,B,B,B
gemini_25_pro,24,B,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,25,E,E,C,E,E,E,E,E,E,E,E
gemini_25_pro,26,E,E,E,E,E,E,E,E,E,A,E
gemini_25_pro,27,D,B,B,B,B,B,B,B,B,B,B
gemini_25_pro,28,A,E,E,E,E,E,A,E,E,E,E
gemini_25_pro,29,D,D,D,C,C,D,C,C,E,E,E
gemini_25_pro,30,E,E,E,E,E,E,E,E,E,E,E
